DSC,Model,Dataset
0.025101542472839355,DeepLabV3+,Breast Ultrasound
0.6663975715637207,DeepLabV3+,Breast Ultrasound
0.952813446521759,DeepLabV3+,Breast Ultrasound
0.7546584606170654,DeepLabV3+,Breast Ultrasound
0.7558602094650269,DeepLabV3+,Breast Ultrasound
0.9664353728294373,DeepLabV3+,Breast Ultrasound
0.7744670510292053,DeepLabV3+,Breast Ultrasound
0.7598298788070679,DeepLabV3+,Breast Ultrasound
0.8369362950325012,DeepLabV3+,Breast Ultrasound
0.8806453347206116,DeepLabV3+,Breast Ultrasound
0.9268665909767151,DeepLabV3+,Breast Ultrasound
0.4627499580383301,DeepLabV3+,Breast Ultrasound
0.9259083867073059,DeepLabV3+,Breast Ultrasound
0.5948254466056824,DeepLabV3+,Breast Ultrasound
0.7697398662567139,DeepLabV3+,Breast Ultrasound
0.8762553930282593,DeepLabV3+,Breast Ultrasound
0.9165763854980469,DeepLabV3+,Breast Ultrasound
0.6237831115722656,DeepLabV3+,Breast Ultrasound
0.9640519022941589,DeepLabV3+,Breast Ultrasound
0.8803300857543945,DeepLabV3+,Breast Ultrasound
0.8698511719703674,DeepLabV3+,Breast Ultrasound
0.18802529573440552,DeepLabV3+,Breast Ultrasound
0.9287412166595459,DeepLabV3+,Breast Ultrasound
0.8713168501853943,DeepLabV3+,Breast Ultrasound
0.7563307285308838,DeepLabV3+,Breast Ultrasound
0.22481155395507812,DeepLabV3+,Breast Ultrasound
0.9588390588760376,DeepLabV3+,Breast Ultrasound
0.9298833608627319,DeepLabV3+,Breast Ultrasound
0.8128585815429688,DeepLabV3+,Breast Ultrasound
0.8305162191390991,DeepLabV3+,Breast Ultrasound
0.8216033577919006,DeepLabV3+,Breast Ultrasound
0.9135546684265137,DeepLabV3+,Breast Ultrasound
0.8882756233215332,DeepLabV3+,Breast Ultrasound
0.003722965717315674,DeepLabV3+,Breast Ultrasound
0.9100504517555237,DeepLabV3+,Breast Ultrasound
0.8080539703369141,DeepLabV3+,Breast Ultrasound
0.7846674919128418,DeepLabV3+,Breast Ultrasound
0.7732149958610535,DeepLabV3+,Breast Ultrasound
0.8909198045730591,DeepLabV3+,Breast Ultrasound
0.8319158554077148,DeepLabV3+,Breast Ultrasound
0.8579040765762329,DeepLabV3+,Breast Ultrasound
0.8118960857391357,DeepLabV3+,Breast Ultrasound
0.8710516095161438,DeepLabV3+,Breast Ultrasound
0.9629884958267212,DeepLabV3+,Breast Ultrasound
0.88858562707901,DeepLabV3+,Breast Ultrasound
0.8903964161872864,DeepLabV3+,Breast Ultrasound
0.925399661064148,DeepLabV3+,Breast Ultrasound
0.7797718644142151,DeepLabV3+,Breast Ultrasound
0.8552305102348328,DeepLabV3+,Breast Ultrasound
0.9675517678260803,DeepLabV3+,Breast Ultrasound
